set_id,error_type,eligible_notes,hard_count,hard_percentage,error_count,selected_errors,error_recall,precision,correct_sieve_rate,enrichment
bl_rate_q990__ni_k3_r2,exact_error,1800,49,0.02722222222222222,392,9,0.02295918367346939,0.1836734693877551,0.028409090909090908,0.8433985839233653
bl_rate_q990__ni_k3_r2,hand_error,1800,49,0.02722222222222222,281,0,0.0,0.0,0.03225806451612903,0.0
bl_rate_q990__ni_k3_r2,within_hand_finger_error,1800,49,0.02722222222222222,111,9,0.08108108108108109,0.1836734693877551,0.023682652457075192,2.978488692774407
bl_rate_q990__ni_k3_r4,exact_error,1800,80,0.044444444444444446,392,13,0.03316326530612245,0.1625,0.04758522727272727,0.7461734693877552
bl_rate_q990__ni_k3_r4,hand_error,1800,80,0.044444444444444446,281,0,0.0,0.0,0.052666227781435156,0.0
bl_rate_q990__ni_k3_r4,within_hand_finger_error,1800,80,0.044444444444444446,111,13,0.11711711711711711,0.1625,0.03966844286560095,2.635135135135135
bl_rate_q990__ni_k5_r1,exact_error,1800,17,0.009444444444444445,392,4,0.01020408163265306,0.23529411764705882,0.009232954545454546,1.0804321728691477
bl_rate_q990__ni_k5_r1,hand_error,1800,17,0.009444444444444445,281,0,0.0,0.0,0.01119157340355497,0.0
bl_rate_q990__ni_k5_r1,within_hand_finger_error,1800,17,0.009444444444444445,111,4,0.036036036036036036,0.23529411764705882,0.0076968620485494375,3.8155802861685215
bl_rate_q990__ni_k5_r2,exact_error,1800,17,0.009444444444444445,392,4,0.01020408163265306,0.23529411764705882,0.009232954545454546,1.0804321728691477
bl_rate_q990__ni_k5_r2,hand_error,1800,17,0.009444444444444445,281,0,0.0,0.0,0.01119157340355497,0.0
bl_rate_q990__ni_k5_r2,within_hand_finger_error,1800,17,0.009444444444444445,111,4,0.036036036036036036,0.23529411764705882,0.0076968620485494375,3.8155802861685215
bl_rate_q990__ni_k5_r4,exact_error,1800,17,0.009444444444444445,392,4,0.01020408163265306,0.23529411764705882,0.009232954545454546,1.0804321728691477
bl_rate_q990__ni_k5_r4,hand_error,1800,17,0.009444444444444445,281,0,0.0,0.0,0.01119157340355497,0.0
bl_rate_q990__ni_k5_r4,within_hand_finger_error,1800,17,0.009444444444444445,111,4,0.036036036036036036,0.23529411764705882,0.0076968620485494375,3.8155802861685215
bl_rate_q975__ni_k2_r1,exact_error,1800,112,0.06222222222222222,392,12,0.030612244897959183,0.10714285714285714,0.07102272727272728,0.49198250728862974
bl_rate_q975__ni_k2_r1,hand_error,1800,112,0.06222222222222222,281,0,0.0,0.0,0.07373271889400922,0.0
bl_rate_q975__ni_k2_r1,within_hand_finger_error,1800,112,0.06222222222222222,111,12,0.10810810810810811,0.10714285714285714,0.05920663114268798,1.7374517374517373
bl_rate_q975__ni_k2_r2,exact_error,1800,167,0.09277777777777778,392,19,0.04846938775510204,0.11377245508982035,0.10511363636363637,0.5224245386777465
bl_rate_q975__ni_k2_r2,hand_error,1800,167,0.09277777777777778,281,0,0.0,0.0,0.10994075049374588,0.0
